CPRO,CGEN,CRAC,CJOB,CQUI,TEIN,TAIN,TSII,TOIN,FEDU,FVTP,FCRA,FTAP,LHO1,LHO2,LHO3,LHO4,LCRE,LSAV,LWDA,PPO1,PPO2,PPO3,PPO4,PPO5,ARO1,ARO2,ARO3,ARO4,ARO5
1,1,2,1,4,23,23,0,0,0,1,1,1,,1,,,,,100,5,4,1,1,1,1,1,1,1,1
1,1,1,3,2,51,33,18,0,2,2,2,2,,,,1,7,,500,1,1,1,3,1,1,,1,1,1
1,1,2,1,4,23,20,0,3,0,1,2,,1,,,,6,,180,5,5,1,1,1,1,1,1,1,1
1,1,2,1,4,21,21,0,0,0,1,2,1,1,,,,50,,180,5,5,1,1,1,1,1,1,1,1
1,1,1,3,2,78,34,28,16,2,2,1,2,,,1,,,50,147,1,2,1,1,3,1,1,1,1,1
1,1,1,1,5,27,24,3,0,2,2,1,1,1,,,,,4,218,1,3,4,1,2,1,1,2,1,1
1,1,1,3,2,78,37,21,20,2,2,2,,,,,1,10,,,,,1,1,2,2,2,2,2,2
1,1,2,1,3,41,41,0,0,2,2,1,1,1,,,,,,240,,2,3,3,3,1,3,,3,1
1,1,2,1,4,7,7,0,0,0,1,1,1,1,,,,,,180,1,1,2,1,1,1,1,1,1,1
1,1,2,1,4,23,18,0,5,0,1,1,1,,1,,,,,180,1,1,2,1,1,1,1,1,1,1
1,1,2,1,3,40,25,0,15,2,2,1,2,1,,,,,,210,3,1,3,1,1,1,1,1,1,1
1,1,2,1,4,18,18,0,0,0,1,2,1,1,,,,5,,210,3,1,2,1,1,1,1,1,1,1
1,1,2,3,3,54,20,16,18,1,1,1,2,1,,,,,,,2,,3,2,3,2,3,1,1,3
1,1,2,1,5,33,26,0,7,0,1,2,1,1,,,,5,,,,,2,2,3,2,3,1,3,2
1,1,2,,4,24,18,0,6,0,1,2,2,1,,,,10,,,2,,3,2,3,2,3,1,3,2
1,2,2,1,4,22,17,0,5,0,1,1,1,1,,,,,,,2,,3,2,3,2,3,1,3,2
1,1,2,1,2,58,17,20,21,0,1,1,1,,,,1,,80,155,2,1,2,1,3,1,2,1,1,2
1,1,1,3,5,30,22,9,-1,0,1,1,2,1,,,,,,150,2,1,3,1,3,1,2,1,2,2
1,1,2,1,5,36,28,0,8,0,1,1,1,1,,,,,,150,2,1,4,3,3,1,2,1,2,2
1,1,2,1,3,41,31,0,10,0,1,1,2,,1,,,,,160,2,1,3,3,3,1,3,1,2,2
1,1,1,1,1,116,81,36,-1,3,2,1,2,,,,1,,,90,1,1,3,1,3,1,2,1,2,2
1,1,2,1,2,58,43,0,15,1,1,1,1,,,1,,,,130,2,1,3,3,3,1,2,1,2,2
1,1,1,1,2,70,60,0,10,2,2,1,2,,,,1,,,200,2,1,2,1,3,1,1,1,2,2
1,1,1,3,3,43,23,0,20,1,1,1,2,,1,,,,,200,2,1,3,1,3,1,1,1,2,2
1,2,2,,4,29,29,0,0,0,1,1,1,1,,,,,,180,1,1,2,1,1,1,1,1,1,1
1,1,1,1,3,39,27,0,12,1,1,2,2,1,,,,6,20,200,2,1,3,1,3,1,3,1,2,2
1,1,2,1,4,16,7,1,8,0,1,1,1,1,,,,,,180,5,5,1,1,1,1,1,1,1,1
1,1,1,1,2,75,53,0,22,2,2,1,1,,,,1,,16,300,,,1,1,2,1,1,1,1,1
1,1,1,1,3,35,19,0,16,1,1,1,1,,1,,,,6,300,,,1,1,2,1,1,1,1,1
1,1,1,1,3,43,43,0,0,1,1,1,1,,,1,,,15,300,,,2,1,,1,1,1,1,
1,1,2,1,3,35,20,15,0,1,1,1,2,,1,,,,80,180,,,1,1,1,1,2,1,3,3
1,1,2,1,2,43,38,5,0,1,1,1,1,,,,1,,,180,3,3,1,1,1,1,1,1,`,2
1,1,2,1,5,33,28,5,0,0,1,2,2,1,,,,10,,200,1,2,2,2,3,2,1,1,1,1
1,1,2,1,4,44,32,0,12,0,1,1,1,1,,,,,,210,2,,1,1,1,1,1,1,1,1
1,1,2,1,3,23,18,0,5,0,1,2,2,,1,,,3,,365,,5,3,3,3,3,3,3,3,3
1,1,2,1,4,22,9,3,10,0,1,1,2,1,,,,,,180,3,2,2,1,2,1,1,1,1,1
1,1,2,1,3,32,26,6,0,0,1,1,2,1,,,,,,210,3,,3,1,1,1,1,1,1,1
1,1,1,1,3,30,30,0,0,0,1,1,1,,1,,,,4,300,,,1,1,2,1,1,1,1,1
1,1,1,1,5,36,27,0,9,0,1,1,,,1,,,,4,300,,,,1,2,1,1,1,1,1
1,1,2,1,5,33,28,0,5,0,1,1,1,,1,,,,,270,,1,3,3,3,3,3,3,3,3
1,1,2,,5,20,16,0,4,0,1,2,1,1,,,,5,,270,,,5,3,3,3,3,3,3,3
1,1,2,1,5,19,12,0,7,0,1,1,1,1,,,,,,270,,,2,3,3,3,3,3,3,3
1,1,2,1,3,35,30,5,0,1,1,2,2,,1,,,25,,365,,,2,3,3,3,3,3,3,3
1,1,2,,3,34,31,0,3,0,1,1,2,1,,,,,,300,3,1,4,2,2,2,1,1,1,1
1,2,1,2,3,40,30,0,10,2,2,1,2,,,1,,,,30,,4,3,3,3,3,3,3,3,3
1,1,2,1,3,32,32,0,0,0,1,1,1,1,,,,,,60,2,2,2,1,1,2,1,1,2,1
1,2,2,1,5,21,19,0,2,0,1,1,1,1,,,,,,180,2,1,3,1,1,1,1,1,1,1
1,1,2,1,5,21,21,0,0,0,1,1,2,1,,,,,,180,3,1,2,1,1,1,1,1,1,1
1,1,1,1,1,138,45,48,45,3,2,1,2,,,,1,,13,300,,,2,1,3,1,3,3,3,2
1,1,2,1,3,33,20,0,13,0,1,1,2,,1,,,,,310,3,5,1,3,3,3,2,1,2,3
1,1,2,1,2,67,46,21,0,2,2,1,2,,,1,,,17,300,4,2,4,1,2,2,2,2,1,1
1,1,2,1,1,124,57,15,52,2,2,2,,,,,1,10,28,190,5,5,1,1,1,1,1,1,1,1
1,1,2,1,3,38,33,5,0,0,1,1,,,1,,,,4,180,5,5,1,1,1,1,1,1,1,1
1,1,2,2,5,21,7,14,0,0,1,1,2,1,,,,,,,,,2,,,,,,,
1,2,2,1,5,20,11,5,4,3,2,1,2,1,,,,,,95,,,2,,,,,,,
1,1,2,1,3,37,28,9,0,0,1,2,2,,1,,,11,,63,,,2,,,,,,,
1,1,2,1,5,32,23,0,9,0,1,2,2,1,,,,10,,240,3,2,1,1,2,1,1,1,1,1
1,1,2,1,3,44,24,20,0,0,1,2,2,,1,,,24,5000,240,3,2,1,1,2,1,1,1,1,1
1,1,2,1,5,28,20,0,8,0,1,1,2,1,,,,,,240,3,5,1,1,2,1,1,1,1,1
1,1,2,1,5,15,8,0,7,0,1,1,2,1,,,,,,360,2,2,2,,,,,,,
1,2,2,,5,14,11,3,0,0,1,1,2,1,,,,,,,4,3,,,,,,,,
1,2,2,,3,25,20,5,0,0,1,2,,,1,,,5,,,,,,,,,,,,
1,1,2,1,5,27,19,8,0,0,1,1,2,1,,,,,,280,4,3,1,1,2,1,1,1,1,1
1,2,2,1,3,20,20,0,0,0,1,1,2,,1,,,,,280,4,3,2,,,,,,,
1,1,2,,1,104,49,0,55,3,2,1,2,,,,1,,,360,2,2,2,,,,,,,
1,2,1,1,3,31,26,0,5,1,1,1,1,,1,,,,,180,2,3,1,1,1,1,1,1,1,1
1,1,1,1,3,35,27,8,0,1,1,1,1,,,1,,,,180,2,2,1,1,1,1,1,1,1,1
1,1,1,1,3,43,38,5,0,0,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
1,2,1,1,3,40,35,0,5,0,1,2,1,,1,,,10,,180,2,2,1,1,1,1,1,1,1,1
1,1,1,2,3,33,13,20,0,1,1,1,2,,1,,,,,,5,3,2,2,1,3,1,1,3,1
1,2,1,1,4,20,20,0,0,0,1,1,1,,1,,,,,,5,2,3,2,3,,1,1,3,3
1,1,2,3,2,35,22,0,13,2,2,1,1,,,1,,,,,1,1,4,,,1,,,2,
1,2,1,2,3,27,22,0,5,0,1,1,2,,1,,,,5,,5,2,2,2,3,2,1,1,2,2
1,2,2,1,3,22,22,0,0,0,1,1,,,1,,,,,330,,,,1,1,1,,,2,1
1,2,2,1,3,40,23,6,11,0,1,1,2,,1,,,,,,,,1,1,2,1,2,2,1,1
1,1,2,1,3,35,35,0,0,0,1,2,1,,1,,,20,,300,4,4,2,2,1,1,1,1,2,1
5,2,2,3,3,42,34,8,0,0,1,1,,,,1,,,26,,,,5,1,1,1,,,,
5,1,2,1,3,32,32,0,0,0,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
5,1,2,1,3,50,40,10,0,0,1,1,1,,1,,,,,,2,2,1,1,1,1,1,1,1,1
5,1,2,1,5,20,17,0,3,0,1,1,1,1,,,,,,200,,,3,,,,,,,
5,2,1,1,3,44,33,11,0,0,1,1,2,,1,,,,,180,4,2,1,1,1,1,1,1,1,1
5,1,2,1,4,22,19,3,0,0,1,1,1,1,,,,,,20,,,3,,,,,,,
5,2,2,1,5,9,3,0,6,0,1,1,1,1,,,,,,,,,3,,,,,,,
5,1,2,1,5,18,12,0,6,0,1,1,1,1,,,,,,,,,3,,,,,,,
5,1,2,1,5,22,12,0,10,0,1,1,1,1,,,,,,180,,,3,,,,,,,
5,2,1,2,3,45,30,0,15,1,1,1,2,,1,,,,15,365,4,3,2,3,2,3,1,1,3,3
5,1,2,2,3,39,24,0,15,0,1,1,2,,1,,,,10,,2,2,2,3,3,3,3,1,1,2
5,1,1,1,5,26,26,0,0,0,1,1,1,,1,,,,,,4,2,2,1,1,2,2,1,2,3
